Aba | ♂ | Török eredetű régi magyar személynév | apa | „rendkívül ritka” → „nagyon ritka”
Gotlíb | ♂ | A német Gottlieb névből való | isten + gyermek ; utód ; Mai német formának a jelentése : " Szeresd az Istent !" | „néhány előfordulás” → „néhány előfordulás”
Góvinda | ♂ | szanszkrit , a Góvinda ‣ Krisna ‣ egyik neve | a csordások ura | „néhány előfordulás” → „rendkívül ritka”
Göncöl | ♂ | Konrád ‣ régi becéző alakváltozata | merész + tanács ( adó ) | „néhány előfordulás” → „rendkívül ritka”
Gracián | ♂ | A latin Gratianus név rövidülése | kedves ; bájos | „néhány előfordulás” → „néhány előfordulás”
Gregor | ♂ | Latin eredetű Gregorius rövidülése | éberen őrködő | „rendkívül ritka” → „nagyon ritka”
Guidó | ♂ | Gujdó ‣ alakváltozata | erdő + uralkodó ; tevékeny | „néhány előfordulás” → „néhány előfordulás”
Gujdó | ♂ | A német eredetű Vitold ‣ névnek , ill . a latin Vitus ‣ név német Veit formájának az olasz alakváltozatából való | erdő + uralkodó ; tevékeny | „néhány előfordulás” → „néhány előfordulás”
Gusztáv | ♂ | Északi germán ( skandináv ) eredetű név | harc + támasz | „közepesen gyakori” → „nagyon ritka”
Günter | ♂ | Germán eredetű német névből származik | harc + had(sereg ) | „nagyon ritka” → „néhány előfordulás”
Gyárfás | ♂ | A Gerváz ‣ név régi magyar formája | | „rendkívül ritka” → „néhány előfordulás”
Gyécsa | ♂ | A Géza ‣ névnek az eredetihez közelebb álló alakváltozata | | „néhány előfordulás” → „néhány előfordulás”
Gyeke | ♂ | György ‣ régi , önállósult becézője | földműves ; gazdálkodó | „néhány előfordulás” → „rendkívül ritka”
Gyenes | ♂ | A Dénes ‣ régi magyar alakváltozata | Dionüszosznak ajánlott | „néhány előfordulás” → „néhány előfordulás”
Gyoma | ♂ | Régi magyar | | „néhány előfordulás” → „néhány előfordulás”
Györe | ♂ | A György ‣ régi magyar becézőjéből önállósult | | „néhány előfordulás” → „néhány előfordulás”
György | ♂ | A görög Geórgiosz névből szárm . | földműves ; gazdálkodó | „rendkívül gyakori” → „közepesen gyakori”
Györk | ♂ | A György ‣ régi magyar becézőjéből önállósult | földműves ; gazdálkodó | „rendkívül ritka” → „rendkívül ritka”
Györke | ♂ | A György ‣ régi magyar becézőjéből önállósult | földműves ; gazdálkodó | „néhány előfordulás” → „néhány előfordulás”
Győző | ♂ | A XIX . századi nyelvújító névalkotás | | „közepesen gyakori” → „nagyon ritka”
Gyula | ♂ | Régi magyar | | „rendkívül gyakori” → „közepesen gyakori”
Habib | ♂ | arab eredetű | :' az , aki nagyon szeretett ' | „néhány előfordulás” → „néhány előfordulás”
Hadriel | ♂ | héber eredetű | Isten nyája , az én nyájam Isten ; Isten serege ; Isten rendbe hoz | „néhány előfordulás” → „rendkívül ritka”
Hadúr | ♂ | Költött név | védő isten | „néhány előfordulás” → „néhány előfordulás”
Háfiz | ♂ | arab eredetű | védő ; gyám | „néhány előfordulás” → „néhány előfordulás”
Hájim | ♂ | Héber eredetű | élet | „néhány előfordulás” → „néhány előfordulás”
Hamilkár | ♂ | Föníciai eredetű név | Melkart istenség kegyelme , jóindulata | „néhány előfordulás” → „néhány előfordulás”
Hamza | ♂ | arab . A gyakori muszlim nevet viselte Mohamed ‣ próféta nagybátyja is | erős ; állhatatos ; oroszlán | „néhány előfordulás” → „nagyon ritka”
Hannibál | ♂ | Föníciai eredetű név | Baal isten kegyelme | „néhány előfordulás” → „nagyon ritka”
Hannó | ♂ | Német eredetű név | bekerített hely ; udvar | „néhány előfordulás” → „néhány előfordulás”
Harald | ♂ | Északi germán eredetű név | ( had)sereg + uralkodó ; tevékeny | „nagyon ritka” → „néhány előfordulás”
Hari | ♂ | Szanszkrit eredetű | Visnu egyik neve | „néhány előfordulás” → „néhány előfordulás”
Harka | ♂ | Régi magyar személynév | bizonytalan | „néhány előfordulás” → „néhány előfordulás”
Harkány | ♂ | Régi magyar személynév | bíró | „néhány előfordulás” → „néhány előfordulás”
Harlám | ♂ | Görög eredetű név | örömtől ragyogó | „néhány előfordulás” → „néhány előfordulás”
Harri | ♂ | Angol eredetű név ; A Henrik ‣ angol megfelelőjének a becézőjéből önállósult | | „néhány előfordulás” → „néhány előfordulás”
Hárs | ♂ | Régi magyar személynév | | „néhány előfordulás” → „néhány előfordulás”
Harsány | ♂ | Régi magyar személynév | | „néhány előfordulás” → „néhány előfordulás”
Hartvig | ♂ | Germán eredetű név | merész + harc | „néhány előfordulás” → „néhány előfordulás”
Harun | ♂ | héber eredetű arab név az anyakönyvezhető Áron ‣ név alakváltozata . | | „néhány előfordulás” → „rendkívül ritka”
Hasszán | ♂ | Arab eredetű név | szép | „néhány előfordulás” → „néhány előfordulás”
Hektor | ♂ | Görög eredetű név | erősen tartó | „néhány előfordulás” → „nagyon ritka”
Heliodor | ♂ | Görög eredetű név | Héliosz ‣ napisten ajándéka | „néhány előfordulás” → „néhány előfordulás”
Héliosz | ♂ | Görög mitológiai eredetű név | nap ; napisten | „néhány előfordulás” → „néhány előfordulás”
Helmut | ♂ | Germán eredetű német név | védelem ; ( védő)sisak + gondolkodás(mód ) | „nagyon ritka” → „néhány előfordulás”
Henrik | ♂ | Germán eredetű név | ház ( vagy bekerített hely ) + hatalmas ; uralkodó | „közepesen gyakori” → „elég ritka”
Herbert | ♂ | Germán eredetű német név | ( had)sereg + fényes ; híres | „nagyon ritka” → „rendkívül ritka”
Herkules | ♂ | Görög mitológiai eredetű név | | „néhány előfordulás” → „rendkívül ritka”
Herman | ♂ | Germán eredetű név | ( had)sereg + férfi | „nagyon ritka” → „nagyon ritka”
Hermész | ♂ | Görög mitológiai eredetű név | hírnök ( valószínűleg egy ősi indoeurópai , siet , rohan jelentésű szóval függ össze ) | „néhány előfordulás” → „néhány előfordulás”
Hermiás | ♂ | A Hermész ‣ alakváltozatának , a Hermeiász névnek a latinosított formájából való | | „néhány előfordulás” → „néhány előfordulás”
Hermiusz | ♂ | A Hermiás ‣ latin alakváltozata | | „néhány előfordulás” → „néhány előfordulás”
Herold | ♂ | A Harald ‣ német alakváltozata | | „néhány előfordulás” → „rendkívül ritka”
Hetény | ♂ | Régi magyar személynév | a hetedik ( gyermek ) | „néhány előfordulás” → „nagyon ritka”
Hiador | ♂ | A Heliodor ‣ név régi magyar alakváltozata | | „néhány előfordulás” → „néhány előfordulás”
Hilár | ♂ | A Hiláriusz ‣ rövidülése | | „néhány előfordulás” → „néhány előfordulás”
Hiláriusz | ♂ | Latin eredetű név | derűs ; vidám ; jókedvű | „néhány előfordulás” → „néhány előfordulás”
Hilmár | ♂ | Germán eredetű német név | harc + híres | „néhány előfordulás” → „néhány előfordulás”
Hippolit | ♂ | A görög , mitológiai eredetű Hippolütosz név latinosított formájából származik | a lovakat kifogó , eloldozó | „néhány előfordulás” → „néhány előfordulás”
Hódos | ♂ | Régi magyar személynév | | „néhány előfordulás” → „néhány előfordulás”
Holló | ♂ | Régi magyar személynév a holló állatnévből | | „néhány előfordulás” → „néhány előfordulás”
Honor | ♂ | A Honorátusz ‣ név rövidülése | tiszteletreméltó | „néhány előfordulás” → „nagyon ritka”
Honorát | ♂ | A Honorátusz ‣ név rövidülése | tiszteletreméltó | „néhány előfordulás” → „néhány előfordulás”
Honorátusz | ♂ | Latin eredetű név | tiszteletreméltó | „néhány előfordulás” → „néhány előfordulás”
Honóriusz | ♂ | Latin eredetű név | megtisztelt ; tiszteletteljes | „néhány előfordulás” → „néhány előfordulás”
Hont | ♂ | Német eredetű név | száznagy , azaz hadnagy ; vagy : ifjú ; legény | „néhány előfordulás” → „néhány előfordulás”
Horác | ♂ | A latin Horatius névnek , egy híres római nemzetség nevének a rövidülése ; A név eredete ismeretlen | a név jelentése ismeretlen | „néhány előfordulás” → „néhány előfordulás”
Horáció | ♂ | Horáciusz ‣ alakváltozata | | „néhány előfordulás” → „néhány előfordulás”
Horáciusz | ♂ | Latin eredetű | | „néhány előfordulás” → „néhány előfordulás”
Horka | ♂ | Régi magyar személynév | | „néhány előfordulás” → „nagyon ritka”
Hős | ♂ | Régi magyar személynév | hős ; bátor | „néhány előfordulás” → „néhány előfordulás”
Huba | ♂ | Ismeretlen eredetű régi magyar személynév | | „elég ritka” → „közepesen gyakori”
Hubert | ♂ | Germán eredetű név | értelem + fényes ; híres | „nagyon ritka” → „rendkívül ritka”
Hubertusz | ♂ | A Hubert ‣ név latinosításából származik | | „néhány előfordulás” → „néhány előfordulás”
Hugó | ♂ | A Hug - kezdetű , germán eredetű nevek rövidülése | értelem | „nagyon ritka” → „nagyon ritka”
Humbert | ♂ | Germán eredetű név | első elemének jelentése bizonytalan , talán : ifjú ; legény ( vagy : óriás ) ; második elem jelentése : fényes ; híres | „néhány előfordulás” → „néhány előfordulás”
Hunor | ♂ | A középkori eredetmondából , a csodaszarvast üldöző Hunor ‣ és Magor ‣ történetéből származó név | | „közepesen gyakori” → „nagyon gyakori”
Hunyad | ♂ | Régi magyar személynév | ismeretlen | „néhány előfordulás” → „rendkívül ritka”
Hümér | ♂ | Magyar nyelvújítók alkotása a Fidél ‣ név magyarítására a hű melléknévből , az Elemér ‣ , Tihamér ‣ stb . nevek mintájára | | „néhány előfordulás” → „rendkívül ritka”
Ibrahim | ♂ | Ábrahám ‣ név arab alakváltozata | a sokaság atyja ( Biblia ) | „nagyon ritka” → „nagyon ritka”
Ibrány | ♂ | Az Ábrahám ‣ név török megfelelőjének , az Ibrahim ‣ névnek a régi magyar alakváltozata | | „néhány előfordulás” → „néhány előfordulás”
Ignác | ♂ | A latin Ignatius név rövidülése | | „elég ritka” → „elég ritka”
Igor | ♂ | A germán Ingwar név orosz változata | Ingo ( Ingwio ) isten + védelem | „nagyon ritka” → „nagyon ritka”
Ilán | ♂ | Szerb , horvát Ilija ( magyarul : Éliás ‣ ) alakváltozata | Úr az Isten ; Isten Jahve ; erősségem az Úr | „néhány előfordulás” → „nagyon ritka”
Ilárion | ♂ | A Hiláriusz ‣ név görögös formája | | „néhány előfordulás” → „néhány előfordulás”
Ildefonz | ♂ | Germán eredetű | harc + kész(séges ) | „néhány előfordulás” → „néhány előfordulás”
Ilián | ♂ | A Héliosz ‣ név orosz származéka | | „néhány előfordulás” → „rendkívül ritka”
Iliász | ♂ | Görög eredetű | Ilion ( Trója ) városából való ( férfi ) | „néhány előfordulás” → „néhány előfordulás”
Illés | ♂ | Az Éliás ‣ név magyar alakváltozata | | „elég ritka” → „elég ritka”
Ilmár | ♂ | Hilmár ‣ név magyar alakváltozata ; finn Ilmari névből | levegő ; lég ; világ | „néhány előfordulás” → „néhány előfordulás”
Imbert | ♂ | Germán eredetű | ? nagy ; hatalmas + fényes ; híres ; vas + bárd | „néhány előfordulás” → „néhány előfordulás”
Immánuel | ♂ | Az Emánuel ‣ névnek az eredetihez közelebb álló alakváltozata | | „rendkívül ritka” → „nagyon ritka”
Imre | ♂ | A germán Amalrich , Emmerich névből | szorgalmas + hatalmas ; uralkodó | „rendkívül gyakori” → „közepesen gyakori”
Ince | ♂ | A latin Innocentius névből | ártatlan ; senkinek sem ártó | „rendkívül ritka” → „néhány előfordulás”
Indár | ♂ | Bizonytalan eredetű | ismeretlen | „néhány előfordulás” → „rendkívül ritka”
Ipoly | ♂ | A Hippolit ‣ régi magyar alakváltozata | | „néhány előfordulás” → „néhány előfordulás”
Iréneusz | ♂ | Görög eredetű | békés | „néhány előfordulás” → „néhány előfordulás”
Irnik | ♂ | Az Ernék név eredetibb alakváltozata | | „néhány előfordulás” → „néhány előfordulás”
István | ♂ | A görög Sztephanosz névből szárm . | koszorú | „első tízben” → „nagyon gyakori”
Isua | ♂ | afrikai ibibio eredetű | új évben született | „néhány előfordulás” → „néhány előfordulás”
